epoch,error,learning_rate
245,0.66283,0.000998044
246,0.66229,0.000998036
247,0.661758,0.000998028
248,0.66123,0.00099802
249,0.660706,0.000998012
250,0.660187,0.000998004
251,0.659672,0.000997996
252,0.659163,0.000997988
253,0.658655,0.00099798
254,0.658154,0.000997972
255,0.657655,0.000997964
256,0.657163,0.000997956
257,0.656675,0.000997948
258,0.656189,0.00099794
259,0.655705,0.000997932
260,0.655227,0.000997924
261,0.654755,0.000997916
262,0.654283,0.000997908
263,0.653817,0.0009979
264,0.653354,0.000997892
265,0.652894,0.000997885
266,0.652436,0.000997877
267,0.651982,0.000997869
268,0.651534,0.000997861
269,0.651087,0.000997853
270,0.650643,0.000997845
271,0.650204,0.000997837
272,0.64977,0.000997829
273,0.649335,0.000997821
274,0.648904,0.000997813
275,0.648476,0.000997805
276,0.648047,0.000997797
277,0.647628,0.000997789
278,0.647208,0.000997781
279,0.646792,0.000997773
280,0.646376,0.000997765
281,0.64596,0.000997757
282,0.645549,0.000997749
283,0.645136,0.000997741
284,0.64473,0.000997733
285,0.644322,0.000997725
286,0.643913,0.000997717
287,0.643507,0.000997709
288,0.643098,0.000997701
289,0.642692,0.000997693
290,0.642288,0.000997685
291,0.641885,0.000997677
292,0.641481,0.000997669
293,0.64108,0.000997661
294,0.640679,0.000997654
295,0.640284,0.000997646
296,0.639891,0.000997638
297,0.6395,0.00099763
298,0.639109,0.000997622
299,0.638721,0.000997614
300,0.638333,0.000997606
301,0.637949,0.000997598
302,0.63757,0.00099759
303,0.637186,0.000997582
304,0.636807,0.000997574
305,0.636427,0.000997566
306,0.63605,0.000997558
307,0.635672,0.00099755
308,0.6353,0.000997542
309,0.634929,0.000997534
310,0.634558,0.000997526
311,0.634192,0.000997518
312,0.633829,0.00099751
313,0.633468,0.000997502
314,0.633112,0.000997494
315,0.632764,0.000997486
316,0.632416,0.000997478
317,0.632073,0.00099747
318,0.631735,0.000997462
319,0.631399,0.000997455
320,0.631071,0.000997447
321,0.63074,0.000997439
322,0.630416,0.000997431
323,0.630095,0.000997423
324,0.629772,0.000997415
325,0.629456,0.000997407
326,0.629141,0.000997399
327,0.628827,0.000997391
328,0.628518,0.000997383
329,0.628205,0.000997375
330,0.627902,0.000997367
331,0.627597,0.000997359
332,0.627296,0.000997351
333,0.626994,0.000997343
334,0.626693,0.000997335
335,0.626398,0.000997327
336,0.6261,0.000997319
337,0.62581,0.000997311
338,0.625518,0.000997303
339,0.62523,0.000997295
340,0.624942,0.000997287
341,0.624658,0.00099728
342,0.624373,0.000997272
343,0.62409,0.000997264
344,0.623809,0.000997256
345,0.623532,0.000997248
346,0.623255,0.00099724
347,0.62298,0.000997232
348,0.622704,0.000997224
349,0.622435,0.000997216
350,0.622165,0.000997208
351,0.621895,0.0009972
352,0.621629,0.000997192
353,0.621367,0.000997184
354,0.621104,0.000997176
355,0.620838,0.000997168
356,0.620584,0.00099716
357,0.620323,0.000997152
358,0.620066,0.000997144
359,0.61981,0.000997136
360,0.619563,0.000997128
361,0.619307,0.00099712
362,0.619057,0.000997112
363,0.618809,0.000997104
364,0.618563,0.000997096
365,0.618315,0.000997089
366,0.618073,0.000997081
367,0.617833,0.000997073
368,0.61759,0.000997065
369,0.617352,0.000997057
370,0.617113,0.000997049
371,0.616876,0.000997041
372,0.616643,0.000997033
373,0.616411,0.000997025
374,0.61618,0.000997017
375,0.615952,0.000997009
376,0.615722,0.000997001
377,0.615492,0.000996993
378,0.615269,0.000996985
379,0.615044,0.000996977
380,0.614822,0.000996969
381,0.614601,0.000996961
382,0.614381,0.000996953
383,0.614161,0.000996945
384,0.613947,0.000996937
385,0.613732,0.000996929
386,0.613517,0.000996922
387,0.6133,0.000996914
388,0.613092,0.000996906
389,0.612882,0.000996898
390,0.612674,0.00099689
391,0.612465,0.000996882
392,0.61226,0.000996874
393,0.612055,0.000996866
394,0.611851,0.000996858
395,0.611651,0.00099685
396,0.61145,0.000996842
397,0.611248,0.000996834
398,0.611052,0.000996826
399,0.610854,0.000996818
400,0.610657,0.00099681
401,0.610465,0.000996802
402,0.610267,0.000996794
403,0.610077,0.000996786
404,0.609885,0.000996778
405,0.609695,0.000996771
406,0.609507,0.000996763
407,0.60932,0.000996755
408,0.609135,0.000996747
409,0.60895,0.000996739
410,0.608762,0.000996731
411,0.608581,0.000996723
412,0.608397,0.000996715
413,0.608219,0.000996707
414,0.608039,0.000996699
415,0.60786,0.000996691
416,0.607681,0.000996683
417,0.607507,0.000996675
418,0.607331,0.000996667
419,0.607157,0.000996659
420,0.606982,0.000996651
421,0.606811,0.000996643
422,0.606641,0.000996635
423,0.606469,0.000996627
424,0.606299,0.00099662
425,0.606131,0.000996612
426,0.605966,0.000996604
427,0.605795,0.000996596
428,0.60563,0.000996588
429,0.605466,0.00099658
430,0.605304,0.000996572
431,0.60514,0.000996564
432,0.604979,0.000996556
433,0.604816,0.000996548
434,0.604655,0.00099654
435,0.604494,0.000996532
436,0.604335,0.000996524
437,0.604179,0.000996516
438,0.604022,0.000996508
439,0.603869,0.0009965
440,0.603711,0.000996492
441,0.603556,0.000996484
442,0.603401,0.000996477
443,0.603248,0.000996469
444,0.603095,0.000996461
445,0.602947,0.000996453
446,0.602794,0.000996445
